# source	action	type	offset	bytes
statemate_FH_DU__S_FH_ZUDISC	Unit_S_FH_ZUDISC	BYTE	167	1
statemate_FH_DU__S_FH_AUFDISC	Unit_S_FH_AUFDISC	BYTE	168	1
statemate_FH_DU__DOOR_ID	Unit_DOOR_ID	BYTE	169	1
statemate_FH_DU__BLOCK	Unit_BLOCK	BYTE	170	1
statemate_FH_DU__BLOCK_copy	Unit_BLOCK_copy	BYTE	171	1
statemate_FH_DU__BLOCK_old	Unit_BLOCK_old	BYTE	172	1
statemate_FH_DU__MFHZ	Unit_MFHZ	BYTE	173	1
statemate_FH_DU__MFHZ_copy	Unit_MFHZ_copy	BYTE	174	1
statemate_FH_DU__MFHZ_old	Unit_MFHZ_old	BYTE	175	1
statemate_FH_DU__MFHA	Unit_MFHA	BYTE	176	1
statemate_FH_DU__MFHA_copy	Unit_MFHA_copy	BYTE	177	1
statemate_FH_DU__MFHA_old	Unit_MFHA_old	BYTE	178	1
statemate_time	time	LONGCARD	179	4
statemate_stable	stable	BYTE	183	1
statemate_step	microstep	BYTE	184	1
statemate_NICHT_INITIALISIERT_NICHT_INITIALISIERT_next_state	UninitState	BYTE	185	1
statemate_ZENTRAL_KINDERSICHERUNG_CTRL_next_state	ZENTRAL_ChildState	BYTE	186	1
statemate_MEC_KINDERSICHERUNG_CTRL_next_state	MEC_ChildState	BYTE	187	1
statemate_KINDERSICHERUNG_CTRL_KINDERSICHERUNG_CTRL_next_state	ChildState	BYTE	188	1
statemate_B_FH_TUERMODUL_CTRL_next_state	B_DoorCtlState	BYTE	189	1
statemate_A_FH_TUERMODUL_CTRL_next_state	A_DoorCtlState	BYTE	190	1
statemate_WIEDERHOLSPERRE_FH_TUERMODUL_CTRL_next_state	Repeat_DoorCtlState	BYTE	191	1
statemate_INITIALISIERT_FH_TUERMODUL_CTRL_next_state	Init_DoorCtlState	BYTE	192	1
statemate_TIPP_SCHLIESSEN_FH_TUERMODUL_CTRL_next_state	TapClose_DoorCtlState	BYTE	193	1
statemate_MANUELL_SCHLIESSEN_FH_TUERMODUL_CTRL_next_state	ManualClose_DoorCtlState	BYTE	194	1
statemate_OEFFNEN_FH_TUERMODUL_CTRL_next_state	Open_DoorCtlState	BYTE	195	1
statemate_SCHLIESSEN_FH_TUERMODUL_CTRL_next_state	Close_DoorCtlState	BYTE	196	1
statemate_FH_STEUERUNG_DUMMY_FH_STEUERUNG_DUMMY_next_state	MotorState	BYTE	197	1
statemate_EINKLEMMSCHUTZ_CTRL_EINKLEMMSCHUTZ_CTRL_next_state	PinchState	BYTE	198	1
statemate_BEWEGUNG_BLOCK_ERKENNUNG_CTRL_next_state	Motion_BlockState	BYTE	199	1
statemate_BLOCK_ERKENNUNG_CTRL_BLOCK_ERKENNUNG_CTRL_next_state	BlockState	BYTE	200	1
