name	scope	class	vtype	address	slot	name_addr	numargs	args
Tag	global	PROC	$C0	$40E6	$9E	$9984	1	BYTE
TagAll	global	PROC	$C8	$416F	$9F	$998D	0	
tagged	global	BYTE ARRAY	$9A	$4014	$9C	$993A	0	
TaggedFiles	global	BYTE FUNC	$C2	$4016	$D4	$9944	0	
true	global	DEFINE `1`	$1B		$F8	$940A	0	
UpdDis	global	PROC	$C8	$3DE2	$E2	$9911	0	
v	global	CARD ARRAY	$94	$38C4	$63	$977D	0	
validdir	global	BYTE	$8A	$38EA	$5F	$984E	0	
Value	global	BYTE FUNC	$C2	$3A5E	$2B	$98C5	1	CARD
View	global	PROC	$C8	$4F2F	$F7	$9A71	0	
Window	global	PROC	$C0	$3123	$91	$96BF	4	BYTE,BYTE,BYTE,BYTE
winnum	global	BYTE	$8A	$38ED	$B5	$9866	0	
Xio	global	PROC	$C8	$30AC	$E1	$967F	5	BYTE,BYTE,BYTE,BYTE,CARD
Xloop	global	PROC	$C0	$4969	$EC	$9A2C	1	BYTE
yesabort	global	PROC	$C8	$4902	$68	$99F8	0	
yescancel	global	PROC	$C8	$492A	$0A	$9A14	0	
zdx	global	BYTE	$8A	$005C	$F9	$9460	0	
zdy	global	BYTE	$8A	$005D	$FC	$9467	0	
zx	global	BYTE	$8A	$005A	$54	$9454	0	
zy	global	BYTE	$8A	$005B	$55	$945A	0	
